	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
59032	543	573	471	479	478	443
209488	2	0	2	5	1	3
27008	611	652	687	731	728	718
16469	34	31	27	44	44	34
71302	221	198	183	190	157	153
110902	0	0	0	0	0	1
26903	0	0	1	0	0	1
105522	1250	1473	1224	1001	1100	1062
320615	417	460	465	407	407	396
53970	338	285	342	286	275	253
213827	3733	3951	3682	3399	3539	3488
100042625	8	5	15	7	4	8
93737	15	17	9	11	15	9
18115	558	576	598	560	537	554
218772	1	0	0	0	1	0
236790	1547	1604	1538	1478	1403	1628
192198	9	5	11	3	0	1
12181	567	823	786	760	730	696
224480	0	0	0	0	0	0
320129	333	198	313	277	246	276
619331	36	43	31	29	41	35
26564	0	0	0	0	0	0
320267	828	832	947	791	770	793
17190	1141	1145	1239	1094	1087	1096
319167	2	17	11	1	8	2
71138	1	4	4	5	8	4
433470	12	30	16	9	20	12
66631	1912	1745	1716	1624	1743	1666
259111	0	1	0	0	0	0
19651	1307	1193	1262	1129	1130	1226
27419	2196	2287	2625	2972	2761	2558
16582	412	556	511	339	346	322
668210	0	0	0	0	0	0
74453	0	0	0	0	0	0
66599	229	217	237	190	201	191
268970	37	40	33	27	31	37
14339	624	543	576	570	560	552
72805	286	294	332	335	288	335
13992	3	2	3	1	2	4
623230	0	1	0	1	2	2
66090	1122	760	1194	1166	998	1068
15139	1	0	0	0	0	0
67958	1584	1597	1451	1228	1307	1239
66353	13	12	8	10	18	14
432731	843	744	843	721	785	816
269037	132	158	145	142	159	148
18537	1180	1237	1181	1272	1261	1222
170755	1690	1590	1421	1222	1310	1327
269799	3428	1701	2523	2357	2411	2872
80743	1092	1274	1185	1152	1042	1057
74617	8905	8028	9165	9830	9318	9407
66096	776	727	870	846	787	751
224008	519	697	597	477	535	464
17929	26	10	24	17	14	35
100037282	275	282	299	285	345	257
69790	268	327	313	283	288	235
